,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
60,309,100,2,3.0,3.0,8.1,0
298,330,114,3,4.5,4.5,9.24,1
228,318,112,3,4.0,3.5,8.67,0
141,332,118,2,4.5,3.5,9.36,1
3,322,110,3,3.5,2.5,8.67,1
405,302,99,3,2.5,3.0,7.45,0
330,327,113,3,3.5,3.0,8.66,1
302,322,105,2,3.0,3.0,8.45,1
176,329,119,4,4.5,4.5,9.16,1
125,300,100,3,2.0,3.0,8.66,1
372,336,119,4,4.5,4.0,9.62,1
358,314,105,2,2.5,2.0,7.64,0
336,319,110,3,3.0,2.5,8.79,0
338,323,108,5,4.0,4.0,8.74,1
425,323,111,5,4.0,5.0,9.86,1
25,340,120,5,4.5,4.5,9.6,1
216,322,112,4,4.5,4.5,9.26,1
277,320,101,2,2.5,3.0,8.62,0
404,311,101,3,2.0,2.5,7.64,1
445,328,116,5,4.5,5.0,9.08,1
335,325,111,4,4.0,4.5,9.11,1
76,327,112,3,3.0,3.0,8.72,1
442,331,116,4,4.5,4.5,9.44,1
105,316,110,3,4.0,4.5,8.78,1
273,312,99,1,1.0,1.5,8.01,1
85,319,103,4,4.5,3.5,8.66,0
189,324,112,5,5.0,5.0,9.08,1
180,300,104,3,3.5,3.0,8.16,0
406,322,103,4,3.0,2.5,8.02,1
107,338,117,4,3.5,4.5,9.46,1
184,316,106,2,2.5,4.0,8.32,0
208,305,106,2,3.0,3.0,8.16,0
97,331,120,3,4.0,4.0,8.96,1
315,308,104,2,2.5,3.0,8.07,0
463,304,107,3,3.5,3.0,7.86,0
192,322,114,5,4.5,4.0,8.94,1
421,321,112,3,3.0,4.5,8.95,1
151,332,116,5,5.0,5.0,9.28,1
132,309,105,5,3.5,3.5,8.56,0
52,334,116,4,4.0,3.0,8.0,1
256,309,99,3,4.0,4.0,8.56,0
364,313,102,3,3.5,4.0,8.9,1
68,318,109,3,3.5,4.0,9.22,1
169,311,99,2,2.5,3.0,7.98,0
366,320,104,3,3.5,4.5,8.34,1
255,307,110,4,4.0,4.5,8.37,0
164,329,111,4,4.5,4.0,9.01,1
214,331,117,4,4.5,5.0,9.42,1
493,300,95,2,3.0,1.5,8.22,1
46,329,114,5,4.0,5.0,9.3,1
439,312,105,2,1.5,3.0,8.46,0
325,326,116,3,3.5,4.0,9.14,1
188,331,115,5,4.5,3.5,9.36,1
432,324,112,4,4.5,4.0,9.22,1
171,334,117,5,4.0,4.5,9.07,1
437,317,106,1,1.5,3.5,7.65,1
122,310,106,4,1.5,2.5,8.36,0
392,326,112,4,4.0,3.5,9.12,1
394,329,111,4,4.5,4.0,9.23,1
21,325,114,4,3.0,2.0,8.4,0
157,309,104,2,2.0,2.5,8.26,0
391,318,106,3,2.0,3.0,8.65,0
113,320,110,2,4.0,3.5,8.56,0
129,333,118,5,5.0,5.0,9.35,1
127,319,112,3,2.5,2.0,8.71,1
262,308,103,2,2.5,4.0,8.36,1
93,301,97,2,3.0,3.0,7.88,1
224,305,105,2,3.0,2.0,8.23,0
401,315,105,2,3.0,3.0,8.34,0
386,302,101,2,2.5,3.5,7.96,0
400,304,100,2,3.5,3.0,8.22,0
14,311,104,3,3.5,2.0,8.2,1
118,296,99,2,3.0,3.5,7.28,0
331,311,105,2,3.0,2.0,8.12,1
1,324,107,4,4.0,4.5,8.87,1
300,309,106,2,2.5,2.5,8.0,0
486,319,102,3,2.5,2.5,8.37,0
365,330,114,4,4.5,3.0,9.17,1
270,306,105,2,2.5,3.0,8.22,1
494,301,99,3,2.5,2.0,8.45,1
485,311,101,2,2.5,3.5,8.34,1
424,325,114,5,4.0,5.0,9.46,1
217,321,109,4,4.0,4.0,9.13,1
82,320,110,5,5.0,4.5,9.22,1
95,304,100,4,1.5,2.5,7.84,0
374,315,105,2,2.0,2.5,7.65,0
204,298,105,3,3.5,4.0,8.54,0
16,317,107,3,4.0,3.0,8.7,0
119,327,104,5,3.0,3.5,8.84,1
371,324,110,3,3.5,3.0,9.22,1
361,334,116,4,4.0,3.5,9.54,1
268,327,113,4,4.5,5.0,9.14,0
251,316,99,2,2.5,3.0,9.0,0
276,329,113,5,5.0,4.5,9.45,1
377,290,100,1,1.5,2.0,7.56,0
403,330,116,4,4.0,3.5,9.23,1
230,313,104,3,4.0,4.5,8.65,0
413,317,101,3,3.0,2.0,7.94,1
464,298,97,2,2.0,3.0,7.21,0
303,323,107,3,3.5,3.5,8.55,1
448,312,109,2,2.5,4.0,9.02,0
260,327,108,5,5.0,3.5,9.13,1
339,324,107,5,3.5,4.0,8.66,1
499,327,113,4,4.5,4.5,9.04,0
66,327,114,3,3.0,3.0,9.02,0
324,315,104,3,3.0,2.5,8.33,0
332,308,106,3,3.5,2.5,8.21,1
267,314,107,3,3.0,3.5,8.17,1
83,322,115,5,4.0,4.5,9.36,1
367,311,98,1,1.0,2.5,7.46,0
90,318,106,2,4.0,4.0,7.92,1
10,325,106,3,3.5,4.0,8.4,1
47,339,119,5,4.5,4.0,9.7,0
31,327,103,3,4.0,4.0,8.3,1
489,302,110,3,4.0,4.5,8.5,0
235,326,111,5,4.5,4.0,9.23,1
104,326,112,3,3.5,3.0,9.05,1
491,297,99,4,3.0,3.5,7.81,0
461,301,102,3,2.5,2.0,8.13,1
22,328,116,5,5.0,5.0,9.5,1
206,315,99,2,3.5,3.0,7.89,0
247,311,104,2,2.5,3.5,8.48,0
289,313,109,3,4.0,3.5,9.0,0
305,321,109,3,3.5,3.5,8.8,1
7,308,101,2,3.0,4.0,7.9,0
422,322,112,4,3.5,2.5,9.02,1
74,314,106,3,3.0,5.0,8.9,0
283,321,111,3,2.5,3.0,8.9,1
236,325,112,4,4.0,4.5,9.17,1
265,313,102,3,2.5,2.5,8.68,0
53,324,112,4,4.0,2.5,8.1,1
35,320,110,5,5.0,5.0,9.2,1
49,327,111,4,3.0,4.0,8.4,1
487,327,115,4,3.5,4.0,9.14,0
43,332,117,4,4.5,4.0,9.1,0
323,305,102,2,2.0,2.5,8.18,0
285,331,116,5,4.0,4.0,9.26,1
58,300,99,1,3.0,2.0,6.8,1
36,299,106,2,4.0,4.0,8.4,0
70,332,118,5,5.0,5.0,9.64,1
64,325,111,3,3.0,3.5,8.7,0
111,321,109,4,4.0,4.0,8.68,1
328,324,112,4,4.0,3.5,8.77,1
470,320,110,5,4.0,4.0,9.27,1
55,320,103,3,3.0,3.0,7.7,0
32,338,118,4,3.0,4.5,9.4,1
416,315,104,3,4.0,2.5,8.1,0
146,315,105,3,2.0,2.5,8.48,0
199,313,107,3,4.0,4.5,8.69,0
294,316,101,2,2.5,2.0,8.32,1
375,304,101,2,2.0,2.5,7.66,0
121,334,119,5,4.5,4.5,9.48,1
497,330,120,5,4.5,5.0,9.56,1
94,303,99,3,2.0,2.5,7.66,0
444,324,113,5,4.0,5.0,9.25,1
48,321,110,3,3.5,5.0,8.85,1
427,310,101,3,3.5,5.0,8.65,1
252,318,100,2,2.5,3.5,8.54,1
250,320,104,3,3.0,2.5,8.57,1
144,325,112,2,3.0,3.5,8.96,1
166,302,102,3,3.5,5.0,8.33,0
98,332,119,4,5.0,4.5,9.24,1
450,320,112,4,3.0,4.5,8.86,1
430,311,104,3,4.0,3.5,8.13,1
299,305,112,3,3.0,3.5,8.65,0
162,318,109,3,3.0,3.0,8.5,0
26,322,109,5,4.5,3.5,8.8,0
110,305,108,5,3.0,3.0,8.48,0
362,338,115,5,4.5,5.0,9.23,1
59,311,104,2,2.0,2.0,8.3,0
2,316,104,3,3.0,3.5,8.0,1
479,325,110,4,4.5,4.0,8.96,1
443,321,114,5,4.5,4.5,9.16,1
274,315,100,1,2.0,2.5,7.95,0
441,332,112,1,1.5,3.0,8.66,1
61,307,101,3,4.0,3.0,8.2,0
307,325,112,4,4.0,4.0,9.0,1
419,308,102,2,2.0,3.5,7.98,1
415,327,106,4,4.0,4.5,8.75,1
215,330,116,5,5.0,4.5,9.36,1
182,299,100,2,3.0,3.5,7.88,0
69,328,115,4,4.5,4.0,9.16,1
453,319,103,3,2.5,4.0,8.76,1
143,340,120,4,4.5,4.0,9.92,1
186,317,107,3,3.5,3.0,8.68,1
446,327,118,4,5.0,5.0,9.67,1
89,316,109,4,4.5,3.5,8.76,1
457,295,99,1,2.0,1.5,7.57,0
77,301,99,2,3.0,2.0,8.22,0
474,308,105,4,3.0,2.5,7.95,1
496,337,117,5,5.0,5.0,9.87,1
259,331,119,4,5.0,4.5,9.34,1
201,315,110,2,3.5,3.0,8.46,1
468,323,110,4,4.0,5.0,8.88,1
435,309,105,2,2.5,4.0,7.68,0
312,311,107,4,4.5,4.5,9.0,1
368,298,92,1,2.0,2.0,7.88,0
248,324,110,3,3.5,4.0,8.87,1
308,312,108,3,3.5,3.0,8.53,0
170,312,101,2,2.5,3.5,8.04,1
183,314,110,3,4.0,4.0,8.8,0
376,297,96,2,2.5,2.0,7.43,0
317,300,99,1,1.0,2.5,8.01,0
360,322,110,3,4.0,5.0,8.64,1
378,303,98,1,2.0,2.5,7.65,0
304,313,106,2,2.5,2.0,8.43,0
225,296,99,2,2.5,2.5,8.03,0
288,314,104,4,5.0,5.0,9.02,0
290,307,105,2,2.5,3.0,7.65,0
0,337,118,4,4.5,4.5,9.65,1
229,324,111,4,3.0,3.0,9.01,1
447,320,108,3,3.5,5.0,8.97,1
237,329,114,5,4.5,5.0,9.19,1
399,333,117,4,5.0,4.0,9.66,1
220,313,103,3,4.0,4.0,8.75,0
293,312,98,1,3.5,3.0,8.18,1
187,335,118,5,4.5,3.5,9.44,1
481,323,107,4,3.0,2.5,8.48,1
116,299,102,3,4.0,3.5,8.62,0
209,301,104,3,3.5,4.0,8.12,1
460,319,105,4,4.0,4.5,8.66,1
161,298,99,1,1.5,3.0,7.46,0
238,310,104,3,2.0,3.5,8.37,0
346,304,97,2,1.5,2.0,7.64,0
388,296,97,2,1.5,2.0,7.8,0
266,312,105,2,2.0,2.5,8.45,0
469,326,114,4,4.0,3.5,9.16,1
354,297,98,2,2.5,3.0,7.67,0
329,297,96,2,2.5,1.5,7.89,0
353,300,102,3,3.5,2.5,8.17,0
417,316,103,3,3.5,2.0,7.68,0
242,324,115,3,3.5,3.0,8.76,1
136,312,103,3,5.0,4.0,8.45,0
114,311,105,3,3.5,3.0,8.45,1
221,316,110,3,3.5,4.0,8.56,0
306,323,110,3,4.0,3.5,9.1,1
314,305,105,2,3.0,4.0,8.13,0
50,313,98,3,2.5,4.5,8.3,1
310,320,104,3,3.0,3.5,8.74,1
152,321,112,5,5.0,5.0,9.06,1
198,311,104,3,4.5,4.5,8.43,0
79,294,93,1,1.5,2.0,7.36,0
211,328,110,4,5.0,4.0,9.14,1
63,315,107,2,4.0,3.0,8.5,1
456,299,100,2,2.0,2.0,7.88,0
337,332,118,5,5.0,5.0,9.47,1
137,316,100,2,1.5,3.0,8.16,1
393,317,104,2,3.0,3.0,8.76,0
23,334,119,5,5.0,4.5,9.7,1
148,339,116,4,4.0,3.5,9.8,1
363,306,103,2,2.5,3.0,8.36,0
426,312,106,3,3.0,5.0,8.57,0
223,308,109,2,3.0,4.0,8.45,0
301,319,108,2,2.5,3.0,8.76,0
172,322,110,4,4.0,5.0,9.13,1
348,302,99,1,2.0,2.0,7.25,0
173,323,113,4,4.0,4.5,9.23,1
482,328,113,4,4.0,2.5,8.77,1
275,322,110,3,3.5,3.0,8.96,1
295,317,100,2,3.0,2.5,8.57,0
477,309,105,4,3.5,2.0,8.18,0
492,298,101,4,2.5,4.5,7.69,1
163,317,105,3,3.5,3.0,8.56,0
475,300,101,3,3.5,2.5,7.88,0
108,331,116,5,5.0,5.0,9.38,1
147,326,114,3,3.0,3.0,9.11,1
379,311,99,1,2.5,3.0,8.43,1
234,330,113,5,5.0,4.0,9.31,1
126,323,113,3,4.0,3.0,9.32,1
39,307,108,2,4.0,3.5,7.7,0
71,336,112,5,5.0,5.0,9.76,1
257,324,100,3,4.0,5.0,8.64,1
352,303,100,2,3.0,3.5,8.06,1
254,321,114,4,4.0,5.0,9.12,0
13,307,109,3,4.0,3.0,8.0,1
226,306,110,2,3.5,4.0,8.45,0
407,298,100,3,2.5,4.0,7.95,1
311,328,108,4,4.5,4.0,9.18,1
167,313,102,3,2.0,3.0,8.27,0
449,315,101,3,3.5,4.5,9.13,0
490,307,105,2,2.5,4.5,8.12,1
65,325,112,4,3.5,3.5,8.92,0
33,340,114,5,4.0,4.0,9.6,1
207,310,102,3,3.5,4.0,8.02,1
467,318,101,5,3.5,5.0,8.78,1
498,312,103,4,4.0,5.0,8.43,0
279,304,102,2,3.0,4.0,8.73,0
239,299,100,1,1.5,2.0,7.89,0
185,327,113,4,4.5,4.5,9.11,1
84,340,115,5,4.5,4.5,9.45,1
195,307,107,2,3.0,3.5,8.52,1
284,340,112,4,5.0,4.5,9.66,1
292,302,99,2,1.0,2.0,7.97,0
24,336,119,5,4.0,3.5,9.8,1
38,304,105,1,3.0,1.5,7.5,0
15,314,105,3,3.5,2.5,8.3,0
96,306,100,2,3.0,3.0,8.0,0
133,323,112,5,4.0,4.5,8.78,0
240,296,101,1,2.5,3.0,7.68,0
109,304,103,5,5.0,4.0,8.64,0
54,322,110,3,3.0,3.5,8.0,0
232,312,107,2,2.5,3.5,8.27,0
73,314,108,4,4.5,4.0,9.04,1
29,310,99,2,1.5,2.0,7.3,0
384,340,113,4,5.0,5.0,9.74,1
318,324,111,3,2.5,2.0,8.8,1
80,312,105,3,2.0,3.0,8.02,1
112,301,107,3,3.5,3.5,8.34,1
258,326,102,4,5.0,5.0,8.76,1
269,308,108,4,4.5,5.0,8.34,0
495,332,108,5,4.5,4.0,9.02,1
420,299,100,3,2.0,3.0,7.42,0
202,340,120,5,4.5,4.5,9.91,1
120,335,117,5,5.0,5.0,9.56,1
91,299,97,3,5.0,3.5,7.66,0
321,323,104,3,4.0,4.0,8.44,1
333,319,108,3,3.0,3.5,8.54,1
452,328,116,4,5.0,3.5,9.6,1
473,316,102,2,4.0,3.5,8.15,0
212,338,120,4,5.0,5.0,9.66,1
436,310,110,1,1.5,4.0,7.23,1
291,300,102,2,1.5,2.0,7.87,0
72,321,111,5,5.0,5.0,9.45,1
316,298,101,2,1.5,2.0,7.86,0
231,319,106,3,3.5,2.5,8.33,1
350,318,107,3,3.0,3.5,8.27,1
106,329,111,4,4.5,4.5,9.18,1
62,304,105,2,3.0,3.0,8.2,1
253,335,115,4,4.5,4.5,9.68,1
115,310,106,4,4.5,4.5,9.04,1
319,327,113,4,3.5,3.0,8.69,1
434,306,103,3,3.5,3.0,8.21,0
397,330,116,4,5.0,4.5,9.45,1
130,339,114,5,4.0,4.5,9.76,1
103,317,104,2,4.5,4.0,8.47,0
423,334,119,5,4.5,5.0,9.54,1
418,309,111,2,2.5,4.0,8.03,0
261,312,104,3,3.5,4.0,8.09,0
373,321,109,3,3.0,3.0,8.54,1
465,305,96,4,3.0,4.5,8.26,0
135,314,109,4,3.5,4.0,8.77,1
462,307,105,4,3.0,3.0,7.94,0
150,334,114,4,4.0,4.0,9.43,1
347,299,94,1,1.0,1.0,7.34,0
272,294,95,1,1.5,1.5,7.64,0
34,331,112,5,4.0,5.0,9.8,1
429,340,115,5,5.0,4.5,9.06,1
17,319,106,3,4.0,3.0,8.0,1
402,324,109,3,3.5,3.0,8.94,1
86,315,106,3,4.5,3.5,8.42,0
345,316,98,1,1.5,2.0,7.43,0
263,324,111,3,2.5,1.5,8.79,1
412,314,102,4,2.5,2.0,7.88,1
466,314,99,4,3.5,4.5,8.73,1
484,317,106,3,3.5,3.0,7.89,1
245,328,110,4,4.0,2.5,9.02,1
297,320,120,3,4.0,4.5,9.11,0
123,308,108,3,3.5,3.5,8.22,0
222,324,113,4,4.5,4.0,8.79,0
342,308,106,3,3.0,3.0,8.24,0
428,316,103,2,2.0,4.5,8.74,0
355,317,106,2,2.0,3.5,8.12,0
281,317,110,3,4.0,4.5,9.11,1
408,297,101,3,2.0,4.0,7.67,1
190,324,111,5,4.5,4.0,9.16,1
385,335,117,5,5.0,5.0,9.82,1
155,312,109,3,3.0,3.0,8.69,0
5,330,115,5,4.5,3.0,9.34,1
42,313,107,2,2.5,2.0,8.5,1
359,321,107,2,2.0,1.5,8.44,0
356,327,109,3,3.5,4.0,8.77,1
88,314,108,3,4.5,3.5,8.14,0
320,317,106,3,4.0,3.5,8.5,1
334,312,107,4,4.5,4.0,8.65,1
340,312,107,3,3.0,3.0,8.46,1
4,314,103,2,2.0,3.0,8.21,0
81,340,120,4,5.0,5.0,9.5,1
27,298,98,2,1.5,2.5,7.5,1
282,312,106,3,4.0,3.5,8.79,1
480,321,102,3,3.5,4.0,9.01,1
154,326,108,3,3.0,3.5,8.89,0
174,321,111,4,4.0,4.0,8.97,1
149,311,106,2,3.5,3.0,8.26,1
20,312,107,3,3.0,2.0,7.9,1
159,297,100,1,1.5,2.0,7.9,0
191,323,110,5,4.0,5.0,8.98,1
476,304,104,3,2.5,2.0,8.12,0
18,318,110,3,4.0,3.0,8.8,0
286,336,118,5,4.5,4.0,9.19,1
478,318,103,3,4.0,4.5,8.49,1
244,314,107,2,2.5,4.0,8.56,0
57,298,99,2,4.0,2.0,7.6,0
471,311,103,3,2.0,4.0,8.09,0
75,329,114,2,2.0,4.0,8.56,1
343,305,103,2,2.5,3.5,8.13,0
381,319,105,3,3.0,3.5,8.67,1
37,300,105,1,1.0,2.0,7.8,0
153,324,105,3,3.0,4.0,8.75,0
396,325,107,3,3.0,3.5,9.11,1
101,312,105,2,2.5,3.0,8.12,0
