,yr,temp,hum,windspeed,days_since_2011,season_FALL,season_SPRING,season_SUMMER,season_WINTER,holiday_HOLIDAY,workingday_WORKING DAY,weathersit_GOOD,weathersit_MISTY,weathersit_RAIN/SNOW/STORM
59,2011,4.533349,53.5,14.500475,59,0,0,0,1,0,1,1,0,0
700,2012,6.021651,80.6667,4.0001814,700,1,0,0,0,0,0,0,1,0
662,2012,19.6125,63.625,4.8762064,662,1,0,0,0,0,1,1,0,0
688,2012,9.899151,62.3333,15.749489,688,1,0,0,0,0,1,0,1,0
222,2011,25.7225,42.375,11.041332,222,0,0,1,0,0,1,1,0,0
686,2012,7.275,54.5417,12.041843,686,1,0,0,0,0,0,1,0,0
591,2012,26.153349,68.6667,11.333586,591,0,0,1,0,0,1,1,0,0
201,2011,30.305,69.125,14.875407,201,0,0,1,0,0,1,0,1,0
458,2012,13.933349,39.6667,6.708911,458,0,1,0,0,0,1,1,0,0
191,2011,27.8375,63.5833,18.916579,191,0,0,1,0,0,1,1,0,0
449,2012,12.5625,88.0833,14.791925,449,0,1,0,0,0,0,0,1,0
607,2012,25.213349,59.0417,5.1668189,607,0,0,1,0,0,1,1,0,0
451,2012,7.196651,29.0,12.541864,451,0,1,0,0,0,1,1,0,0
277,2011,17.301651,64.7917,11.87575,277,1,0,0,0,0,1,1,0,0
466,2012,8.388712,46.9565,19.783358,466,0,1,0,0,0,1,1,0,0
339,2011,13.7375,94.9583,15.583061,339,1,0,0,0,0,1,0,0,1
133,2011,16.479151,92.25,9.04165,133,0,1,0,0,0,0,0,1,0
287,2011,15.813349,48.3333,17.291561,287,1,0,0,0,0,0,1,0,0
639,2012,16.479151,64.9167,6.0838814,639,1,0,0,0,0,1,0,1,0
415,2012,5.16,50.7826,15.348561,415,0,0,0,1,1,0,1,0,0
540,2012,26.936651,47.9167,9.750175,540,0,0,1,0,0,0,1,0,0
616,2012,22.980849,79.9167,18.833968,616,0,0,1,0,0,0,0,1,0
257,2011,19.1425,70.9167,18.166782,257,0,0,1,0,0,1,0,1,0
510,2012,23.96,74.7083,9.41685,510,0,1,0,0,0,1,1,0,0
511,2012,24.5475,73.25,13.332464,511,0,1,0,0,0,0,1,0,0
692,2012,9.311651,56.875,9.917407,692,1,0,0,0,0,1,1,0,0
542,2012,21.649151,37.3333,23.292014,542,0,0,1,0,0,1,1,0,0
130,2011,17.4975,63.2917,8.083014,130,0,1,0,0,0,1,1,0,0
634,2012,21.845,63.0833,16.3748,634,1,0,0,0,0,1,1,0,0
350,2011,4.141651,56.0833,16.292189,350,1,0,0,0,0,0,0,1,0
599,2012,23.3725,67.7083,4.7089811,599,0,0,1,0,0,1,1,0,0
393,2012,5.2775,31.125,16.08335,393,0,0,0,1,0,0,1,0,0
110,2011,13.580849,40.7083,21.792286,110,0,1,0,0,0,1,1,0,0
329,2011,9.664151,68.1667,4.5841936,329,1,0,0,0,0,0,1,0,0
168,2011,24.743349,67.0417,8.000336,168,0,1,0,0,0,0,1,0,0
614,2012,24.743349,81.0417,9.542207,614,0,0,1,0,0,1,0,1,0
386,2012,-0.3625,79.625,13.375746,386,0,0,0,1,0,0,0,1,0
492,2012,17.2625,66.4167,15.458307,492,0,1,0,0,0,1,0,1,0
567,2012,20.004151,86.5417,14.2911,567,0,0,1,0,0,0,0,0,1
509,2012,22.785,71.6667,11.584032,509,0,1,0,0,0,1,1,0,0
482,2012,13.5025,40.0833,23.291411,482,0,1,0,0,0,1,1,0,0
101,2011,15.6175,73.9167,18.416893,101,0,1,0,0,0,1,0,1,0
621,2012,20.7875,63.7083,5.5422936,621,0,0,1,0,0,1,1,0,0
566,2012,23.294151,84.4167,14.000789,566,0,0,1,0,0,1,0,1,0
187,2011,27.25,65.125,10.6664,187,0,0,1,0,0,1,1,0,0
404,2012,4.455,56.2083,13.000479,404,0,0,0,1,0,1,1,0,0
730,2012,2.144151,57.75,10.374682,730,0,0,0,1,0,1,0,1,0
34,2011,1.931288,58.5217,8.565213,34,0,0,0,1,0,1,0,1,0
91,2011,6.805,65.375,13.208782,91,0,1,0,0,0,0,0,1,0
28,2011,1.236534,65.1739,9.739455,28,0,0,0,1,0,0,1,0,0
71,2011,10.064356,52.7391,18.130468,71,0,0,0,1,0,0,1,0,0
317,2011,16.91,58.7083,20.541932,317,1,0,0,0,0,1,1,0,0
606,2012,24.195,55.2083,7.541654,606,0,0,1,0,0,1,1,0,0
568,2012,23.3725,76.25,6.2926936,568,0,0,1,0,0,0,0,1,0
507,2012,20.905,76.5833,7.917189,507,0,1,0,0,0,1,0,1,0
355,2011,11.896651,75.75,3.167425,355,0,0,0,1,0,1,0,1,0
354,2011,12.131651,85.8333,14.8338,354,0,0,0,1,0,1,0,1,0
453,2012,15.225849,43.9167,21.41655,453,0,1,0,0,0,1,1,0,0
446,2012,18.045849,83.125,7.876654,446,0,1,0,0,0,1,1,0,0
374,2012,6.508712,64.6522,12.565984,374,0,0,0,1,0,1,1,0,0
681,2012,14.795,74.1667,11.625639,681,1,0,0,0,1,0,1,0,0
413,2012,8.293349,53.4583,12.792243,413,0,0,0,1,0,0,1,0,0
593,2012,25.800849,51.9167,9.500332,593,0,0,1,0,0,1,1,0,0
84,2011,4.494151,39.4167,14.041257,84,0,1,0,0,0,0,1,0,0
722,2012,3.554151,51.5417,8.916561,722,0,0,0,1,0,0,1,0,0
443,2012,17.615,72.875,10.875239,443,0,0,0,1,0,1,1,0,0
543,2012,24.7825,36.0,18.208925,543,0,0,1,0,0,1,1,0,0
255,2011,22.589151,71.25,9.500868,255,0,0,1,0,0,1,1,0,0
649,2012,12.445,46.3333,12.166932,649,1,0,0,0,0,1,1,0,0
126,2011,16.44,54.125,10.75015,126,0,1,0,0,0,0,1,0,0
441,2012,16.165849,75.5833,7.417168,441,0,0,0,1,0,0,0,1,0
152,2011,25.605,30.5,19.583229,152,0,1,0,0,0,1,1,0,0
333,2011,7.275,61.3333,18.167586,333,1,0,0,0,0,1,1,0,0
99,2011,12.053349,85.75,9.833389,99,0,1,0,0,0,0,0,1,0
219,2011,27.955,59.2083,12.875725,219,0,0,1,0,0,1,1,0,0
562,2012,27.876651,64.5,11.000529,562,0,0,1,0,0,1,1,0,0
608,2012,27.915849,58.75,11.291711,608,0,0,1,0,0,1,1,0,0
6,2011,1.236534,49.8696,11.304642,6,0,0,0,1,0,1,0,1,0
269,2011,21.923349,88.5417,7.917457,269,1,0,0,0,0,1,0,1,0
320,2011,8.058349,57.5833,20.459254,320,1,0,0,0,0,1,0,1,0
620,2012,20.160849,57.7083,8.833682,620,0,0,1,0,0,1,1,0,0
589,2012,24.939151,53.0417,8.208304,589,0,0,1,0,0,0,1,0,0
518,2012,19.416651,54.9167,12.499654,518,0,1,0,0,0,0,1,0,0
268,2011,22.510849,84.8333,7.4169,268,1,0,0,0,0,1,0,1,0
612,2012,26.114151,75.5,15.833507,612,0,0,1,0,0,1,1,0,0
218,2011,26.8975,75.2917,13.499629,218,0,0,1,0,0,0,1,0,0
240,2011,21.923349,55.4583,10.708275,240,0,0,1,0,0,1,1,0,0
72,2011,7.285199,49.6957,9.174042,72,0,0,0,1,0,1,1,0,0
248,2011,17.38,88.6957,23.044181,248,0,0,1,0,0,1,0,0,1
229,2011,25.448349,65.4583,15.624936,229,0,0,1,0,0,1,1,0,0
631,2012,16.870849,46.7083,14.958286,631,1,0,0,0,0,0,1,0,0
663,2012,17.85,80.0417,8.333125,663,1,0,0,0,0,1,0,1,0
87,2011,6.2175,31.4167,15.208732,87,0,1,0,0,0,1,1,0,0
627,2012,17.9675,53.6667,14.416725,627,0,0,1,0,0,1,1,0,0
539,2012,26.388349,53.4583,12.041307,539,0,0,1,0,0,0,1,0,0
623,2012,20.591651,50.1667,16.583907,623,0,0,1,0,0,0,1,0,0
259,2011,15.108349,71.8333,12.708225,259,0,0,1,0,0,0,0,1,0
238,2011,23.96,85.0,25.166339,238,0,0,1,0,0,0,0,1,0
50,2011,5.405199,40.7826,14.956745,50,0,0,0,1,0,0,1,0,0
421,2012,5.120849,41.0,13.750343,421,0,0,0,1,0,0,1,0,0
696,2012,5.708349,78.6667,15.916654,696,1,0,0,0,0,1,0,1,0
501,2012,21.923349,69.7917,8.208304,501,0,1,0,0,0,1,1,0,0
37,2011,4.768349,73.8333,3.0423561,37,0,0,0,1,0,1,1,0,0
611,2012,25.2525,79.0833,10.125107,611,0,0,1,0,1,0,1,0,0
289,2011,17.105849,57.9583,11.750393,289,1,0,0,0,0,1,1,0,0
251,2011,22.55,89.7917,8.333393,251,0,0,1,0,0,1,0,1,0
547,2012,30.344151,51.875,11.291443,547,0,0,1,0,0,0,1,0,0
53,2011,2.421733,42.3043,6.305571,53,0,0,0,1,0,1,1,0,0
626,2012,21.296651,87.25,23.958329,626,0,0,1,0,0,1,0,1,0
659,2012,13.815849,51.0,11.125618,659,1,0,0,0,0,0,1,0,0
461,2012,10.956651,37.7083,20.125996,461,0,1,0,0,0,1,1,0,0
288,2011,16.048349,48.6667,18.875039,288,1,0,0,0,0,0,1,0,0
172,2011,26.466651,70.75,11.541554,172,0,0,1,0,0,1,1,0,0
541,2012,25.644151,50.4167,20.125661,541,0,0,1,0,0,1,1,0,0
15,2011,2.888349,48.375,12.625011,15,0,0,0,1,0,0,1,0,0
572,2012,28.503349,59.6667,19.082471,572,0,0,1,0,0,1,1,0,0
314,2011,7.235849,44.625,21.083225,314,1,0,0,0,1,0,1,0,0
481,2012,15.421651,75.6667,11.833875,481,0,1,0,0,0,1,0,1,0
203,2011,31.910849,50.0,8.791807,203,0,0,1,0,0,0,1,0,0
364,2011,11.27,61.5833,14.750318,364,0,0,0,1,0,0,1,0,0
399,2012,4.415849,77.9583,8.167032,399,0,0,0,1,0,0,0,1,0
279,2011,16.009151,68.4167,1.5002439,279,1,0,0,0,0,1,1,0,0
258,2011,14.050849,59.0417,11.000261,258,0,0,1,0,0,1,0,1,0
30,2011,0.499150999999999,60.375,12.541864,30,0,0,0,1,0,1,0,1,0
247,2011,23.646651,79.0417,14.250632,247,0,0,1,0,1,0,0,1,0
597,2012,21.884151,73.4167,8.708593,597,0,0,1,0,0,1,0,1,0
660,2012,14.9125,56.8333,5.4593811,660,1,0,0,0,0,1,1,0,0
369,2012,4.494151,52.4167,8.709129,369,0,0,0,1,0,1,1,0,0
644,2012,18.045849,66.4167,17.957675,644,1,0,0,0,0,0,1,0,0
411,2012,6.883349,75.2917,6.125475,411,0,0,0,1,0,1,0,1,0
414,2012,5.16,51.5833,16.958504,414,0,0,0,1,0,0,0,1,0
336,2011,6.060849,61.2917,6.4174811,336,1,0,0,0,0,0,1,0,0
707,2012,9.938349,91.125,6.792393,707,1,0,0,0,0,0,0,1,0
465,2012,12.993349,43.5,16.708125,465,0,1,0,0,0,1,1,0,0
57,2011,8.143466,68.0,8.391616,57,0,0,0,1,0,0,1,0,0
235,2011,23.646651,60.5,16.958236,235,0,0,1,0,0,1,1,0,0
139,2011,17.223349,71.9583,8.375871,139,0,1,0,0,0,1,1,0,0
544,2012,27.210849,42.25,11.50055,544,0,0,1,0,0,1,1,0,0
45,2011,4.506089,31.4348,19.522058,45,0,0,0,1,0,1,1,0,0
353,2011,10.134151,59.5417,4.1252436,353,1,0,0,0,0,1,0,1,0
357,2011,6.2175,54.25,12.750368,357,0,0,0,1,0,0,1,0,0
81,2011,8.306979,83.9565,15.695487,81,0,1,0,0,0,1,0,1,0
20,2011,0.342499999999999,45.7083,23.667214,20,0,0,0,1,0,1,1,0,0
632,2012,16.165849,49.2917,9.541068,632,1,0,0,0,0,1,1,0,0
580,2012,27.994151,64.25,14.458064,580,0,0,1,0,0,1,0,1,0
275,2011,10.055849,76.0833,5.5841686,275,1,0,0,0,0,1,0,1,0
69,2011,6.876534,64.9565,15.60899,69,0,0,0,1,0,1,0,1,0
432,2012,16.7925,56.75,29.584721,432,0,0,0,1,0,1,1,0,0
625,2012,19.299151,73.4583,10.166714,625,0,0,1,0,0,1,0,1,0
672,2012,8.136651,49.125,18.125443,672,1,0,0,0,0,0,0,1,0
723,2012,2.871288,79.1304,5.1744368,723,0,0,0,1,0,1,0,1,0
185,2011,27.093349,59.0417,8.459286,185,0,0,1,0,0,1,1,0,0
512,2012,24.43,69.7083,14.416457,512,0,1,0,0,0,0,1,0,0
419,2012,11.1525,73.75,15.916989,419,0,0,0,1,0,1,0,1,0
706,2012,7.079151,76.4167,8.7502,706,1,0,0,0,0,1,0,1,0
10,2011,-0.0527230000000003,68.6364,8.182844,10,0,0,0,1,0,1,0,1,0
385,2012,0.146650999999999,83.125,14.917014,385,0,0,0,1,0,0,0,1,0
178,2011,26.975849,63.4167,9.666961,178,0,0,1,0,0,1,1,0,0
712,2012,5.904151,48.5833,11.666643,712,1,0,0,0,0,1,1,0,0
298,2011,14.755849,72.0417,9.959014,298,1,0,0,0,0,1,0,1,0
179,2011,26.231651,49.7917,17.542007,179,0,0,1,0,0,1,1,0,0
546,2012,27.955,60.125,10.791757,546,0,0,1,0,0,0,1,0,0
708,2012,10.055849,90.5417,10.584325,708,1,0,0,0,0,0,0,1,0
406,2012,2.535849,73.125,19.416332,406,0,0,0,1,0,0,0,0,1
190,2011,27.1325,57.8333,12.292557,190,0,0,1,0,0,0,1,0,0
506,2012,20.121651,81.125,15.624668,506,0,1,0,0,0,1,0,1,0
558,2012,25.644151,52.9583,9.833925,558,0,0,1,0,0,1,1,0,0
371,2012,10.486651,53.1667,11.708786,371,0,0,0,1,0,0,1,0,0
196,2011,24.273349,58.5,13.958914,196,0,0,1,0,0,0,1,0,0
186,2011,25.84,74.3333,10.042161,186,0,0,1,0,0,1,1,0,0
488,2012,18.32,76.8333,8.957632,488,0,1,0,0,0,1,0,1,0
677,2012,8.552178,33.3478,23.304945,677,1,0,0,0,0,1,1,0,0
464,2012,14.990849,31.75,23.999132,464,0,1,0,0,0,1,1,0,0
652,2012,16.518349,64.0417,18.667004,652,1,0,0,0,0,0,1,0,0
40,2011,-1.215644,43.7391,14.869645,40,0,0,0,1,0,1,1,0,0
27,2011,1.563466,79.3043,8.2611,27,0,0,0,1,0,1,0,1,0
245,2011,23.450849,71.6667,12.416775,245,0,0,1,0,0,0,1,0,0
409,2012,7.000849,50.875,9.458993,409,0,0,0,1,0,1,0,1,0
641,2012,22.9025,79.375,4.4585686,641,1,0,0,0,0,1,0,1,0
437,2012,18.555,61.75,15.87565,437,0,0,0,1,0,1,1,0,0
149,2011,26.466651,68.5,8.792075,149,0,1,0,0,1,0,1,0,0
596,2012,21.884151,71.1667,5.79215,596,0,0,1,0,0,0,0,1,0
555,2012,25.409151,68.3333,12.125325,555,0,0,1,0,0,1,0,1,0
48,2011,16.518349,51.6667,17.749975,48,0,0,0,1,0,1,1,0,0
643,2012,20.905,62.75,7.12545,643,1,0,0,0,0,1,1,0,0
331,2011,15.663466,74.3043,9.522174,331,1,0,0,0,0,1,1,0,0
63,2011,10.055849,78.9167,16.875357,63,0,0,0,1,0,0,0,1,0
17,2011,2.183349,86.1667,9.833925,17,0,0,0,1,0,1,0,1,0
651,2012,10.486651,49.4583,9.791514,651,1,0,0,0,0,0,1,0,0
340,2011,11.27,97.0417,17.833725,340,1,0,0,0,0,1,0,0,1
158,2011,28.464151,62.2083,9.166739,158,0,1,0,0,0,1,1,0,0
304,2011,10.839151,68.375,9.083257,304,1,0,0,0,0,1,1,0,0
729,2012,4.024151,48.3333,23.500518,729,0,0,0,1,0,0,1,0,0
474,2012,15.421651,61.25,4.4172564,474,0,1,0,0,0,1,1,0,0
151,2011,27.915849,67.7083,13.875164,151,0,1,0,0,0,1,0,1,0
120,2011,13.228349,76.2083,7.125718,120,0,1,0,0,0,0,0,1,0
285,2011,19.690849,89.6667,9.499729,285,1,0,0,0,0,1,0,1,0
418,2012,13.345849,55.4583,12.791171,418,0,0,0,1,0,1,1,0,0
595,2012,23.881651,60.3333,11.917089,595,0,0,1,0,0,0,1,0,0
88,2011,6.1,64.6667,11.583496,88,0,1,0,0,0,1,0,1,0
505,2012,21.179151,53.0417,17.042589,505,0,1,0,0,0,0,1,0,0
55,2011,9.124356,71.2174,23.218113,55,0,0,0,1,0,1,0,1,0
114,2011,20.513349,77.6667,12.417311,114,0,1,0,0,0,1,1,0,0
358,2011,4.914801,68.1304,10.391097,358,0,0,0,1,0,0,1,0,0
220,2011,28.425,57.0417,10.125107,220,0,0,1,0,0,1,1,0,0
243,2011,22.785,63.9167,9.500332,243,0,0,1,0,0,1,1,0,0
728,2012,3.906651,75.2917,8.333661,728,0,0,0,1,0,0,0,1,0
171,2011,23.999151,77.0417,11.458675,171,0,0,1,0,0,1,0,1,0
452,2012,14.755849,48.125,19.541957,452,0,1,0,0,0,1,1,0,0
671,2012,8.685,52.2083,17.833725,671,1,0,0,0,0,1,1,0,0
271,2011,20.983349,69.9167,11.583161,271,1,0,0,0,0,1,1,0,0
601,2012,25.0175,61.5,4.8337686,601,0,0,1,0,0,1,0,1,0
337,2011,7.549151,77.5833,5.6252061,337,1,0,0,0,0,0,1,0,0
380,2012,0.93,52.25,15.500986,380,0,0,0,1,1,0,1,0,0
74,2011,9.165199,77.6522,13.608839,74,0,0,0,1,0,1,0,1,0
250,2011,21.793911,93.9565,12.914116,250,0,0,1,0,0,1,0,0,1
586,2012,27.524151,62.0417,10.4587,586,0,0,1,0,0,1,1,0,0
286,2011,17.889151,71.625,15.000161,286,1,0,0,0,0,1,0,1,0
537,2012,29.874151,56.7917,7.958729,537,0,0,1,0,0,1,1,0,0
85,2011,3.893021,49.3913,12.3481,85,0,1,0,0,0,0,0,1,0
228,2011,25.996651,57.5417,9.625689,228,0,0,1,0,0,1,1,0,0
389,2012,5.825849,64.375,10.791757,389,0,0,0,1,0,1,1,0,0
370,2012,7.705849,54.2083,11.249836,370,0,0,0,1,0,1,1,0,0
571,2012,26.035849,45.0,11.0416,571,0,0,1,0,0,1,1,0,0
485,2012,13.815849,57.0,11.499746,485,0,1,0,0,0,1,0,1,0
450,2012,12.954151,47.7917,25.917007,450,0,1,0,0,0,1,1,0,0
280,2011,16.518349,70.125,3.0420814,280,1,0,0,0,0,0,1,0,0
260,2011,15.8525,69.5,11.958361,260,0,0,1,0,0,0,1,0,0
23,2011,-3.4226089,49.1739,10.60811,23,0,0,0,1,0,1,1,0,0
262,2011,18.398349,88.125,9.041918,262,0,0,1,0,0,1,0,1,0
683,2012,5.590849,55.2083,13.374875,683,1,0,0,0,0,1,1,0,0
381,2012,9.533021,71.6087,23.39171,381,0,0,0,1,0,1,0,1,0
164,2011,20.395849,50.7083,18.041961,164,0,1,0,0,0,1,1,0,0
679,2012,10.290849,64.5417,3.8756686,679,1,0,0,0,0,0,1,0,0
207,2011,28.425,40.2917,12.292021,207,0,0,1,0,0,1,1,0,0
102,2011,11.3875,81.9167,16.791339,102,0,1,0,0,0,1,0,1,0
216,2011,25.409151,63.0833,12.374632,216,0,0,1,0,0,1,1,0,0
347,2011,6.9225,66.375,4.0842061,347,1,0,0,0,0,1,0,1,0
266,2011,20.513349,86.25,5.2516811,266,1,0,0,0,0,0,0,1,0
7,2011,-0.244999999999999,53.5833,17.875868,7,0,0,0,1,0,0,0,1,0
430,2012,4.141651,45.6667,13.458625,430,0,0,0,1,0,1,1,0,0
104,2011,12.993349,67.125,15.167125,104,0,1,0,0,1,0,1,0,0
714,2012,7.235849,65.0417,7.12545,714,1,0,0,0,0,0,1,0,0
239,2011,25.231773,56.1765,20.412153,239,0,0,1,0,0,0,1,0,0
254,2011,22.284356,69.2174,5.957171,254,0,0,1,0,0,1,1,0,0
246,2011,25.330849,74.2083,13.833289,246,0,0,1,0,0,0,1,0,0
352,2011,5.003349,63.75,11.584032,352,1,0,0,0,0,1,1,0,0
9,2011,-0.910849000000001,48.2917,14.958889,9,0,0,0,1,0,1,1,0,0
106,2011,13.463349,47.9583,20.334232,106,0,1,0,0,0,0,1,0,0
334,2011,6.6875,52.4583,14.750586,334,1,0,0,0,0,1,1,0,0
655,2012,13.424151,69.2917,6.791857,655,1,0,0,0,0,1,1,0,0
41,2011,0.887277000000001,50.6364,7.27285,41,0,0,0,1,0,1,1,0,0
387,2012,2.261651,91.125,7.417436,387,0,0,0,1,0,1,0,1,0
469,2012,15.265,50.2917,12.791439,469,0,1,0,0,0,0,1,0,0
225,2011,23.803349,81.75,14.916411,225,0,0,1,0,0,0,0,1,0
290,2011,17.0275,70.1667,7.375829,290,1,0,0,0,0,1,0,1,0
343,2011,4.925,50.75,15.625807,343,1,0,0,0,0,0,1,0,0
108,2011,15.774151,66.5833,10.584057,108,0,1,0,0,0,1,0,1,0
498,2012,20.7875,57.625,15.082839,498,0,1,0,0,0,0,1,0,0
514,2012,25.9575,68.4583,19.7918,514,0,1,0,0,0,1,1,0,0
338,2011,10.134151,82.7083,4.1679561,338,1,0,0,0,0,1,0,1,0
309,2011,8.371651,73.4583,6.1676314,309,1,0,0,0,0,0,1,0,0
520,2012,20.0825,48.7083,19.083811,520,0,1,0,0,0,1,1,0,0
359,2011,7.121733,50.6957,16.044155,359,0,0,0,1,1,0,1,0,0
66,2011,5.7475,42.0833,8.08355,66,0,0,0,1,0,1,1,0,0
54,2011,5.895644,69.7391,16.783232,54,0,0,0,1,0,1,0,1,0
719,2012,7.51,66.7917,8.875021,719,1,0,0,0,0,1,0,1,0
124,2011,13.580849,44.4167,19.791264,124,0,1,0,0,0,1,1,0,0
687,2012,8.0975,69.2917,15.250004,687,1,0,0,0,0,0,1,0,0
46,2011,6.958267,42.3478,16.869997,46,0,0,0,1,0,1,1,0,0
18,2011,5.732178,74.1739,13.957239,18,0,0,0,1,0,1,0,1,0
517,2012,22.745849,75.5417,15.916721,517,0,1,0,0,0,1,0,1,0
76,2011,17.38,52.5217,15.478139,76,0,0,0,1,0,1,1,0,0
112,2011,13.62,88.7917,15.458575,112,0,1,0,0,0,0,0,1,0
105,2011,12.249151,88.8333,22.834136,105,0,1,0,0,0,0,0,0,1
582,2012,28.150849,65.25,19.458207,582,0,0,1,0,0,0,1,0,0
561,2012,27.054151,71.7917,11.166689,561,0,0,1,0,0,0,1,0,0
486,2012,20.826651,65.9583,10.458432,486,0,1,0,0,0,1,0,1,0
724,2012,5.691288,73.4783,11.304642,724,0,0,0,1,1,0,0,1,0
342,2011,5.669151,69.5833,5.5420189,342,1,0,0,0,0,1,1,0,0
530,2012,22.471651,56.9583,17.000111,530,0,1,0,0,0,1,1,0,0
67,2011,5.904151,77.5417,14.75005,67,0,0,0,1,0,1,0,1,0
491,2012,18.4375,74.0,10.041893,491,0,1,0,0,0,0,0,1,0
351,2011,3.201651,58.625,11.375193,351,1,0,0,0,0,0,1,0,0
429,2012,3.436651,50.625,15.333486,429,0,0,0,1,0,1,1,0,0
142,2011,21.688349,81.0,15.667414,142,0,1,0,0,0,1,0,1,0
383,2012,0.93,49.75,14.750586,383,0,0,0,1,0,1,1,0,0
24,2011,2.503466,61.6957,8.696332,24,0,0,0,1,0,1,0,1,0
115,2011,21.688349,72.9167,21.8755,115,0,1,0,0,0,1,1,0,0
